Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,application_method (product.metafields.custom.application_method),backing_plate_thread (product.metafields.custom.backing_plate_thread),badge_text (product.metafields.custom.badge_text),biodegradable (product.metafields.custom.biodegradable),brand (product.metafields.custom.brand),compatible_chemicals (product.metafields.custom.compatible_chemicals),concentrate_or_rtu (product.metafields.custom.concentrate_or_rtu),coverage (product.metafields.custom.coverage),delivery_format (product.metafields.custom.delivery_format),dilution_ratio (product.metafields.custom.dilution_ratio),featured_collection_slot (product.metafields.custom.featured_collection_slot),fit_type (product.metafields.custom.fit_type),fragrance_family (product.metafields.custom.fragrance_family),intensity_level (product.metafields.custom.intensity_level),material_composition (product.metafields.custom.material_composition),orbit_size (product.metafields.custom.orbit_size),pad_cut_level (product.metafields.custom.pad_cut_level),pad_diameter (product.metafields.custom.pad_diameter),pad_material (product.metafields.custom.pad_material),pad_size_compatibility (product.metafields.custom.pad_size_compatibility),ph_level (product.metafields.custom.ph_level),power_source (product.metafields.custom.power_source),pro_tip (product.metafields.custom.pro_tip),psi_rating (product.metafields.custom.psi_rating),recommended_pairing (product.metafields.custom.recommended_pairing),related_products (product.metafields.custom.related_products),reviews (product.metafields.custom.reviews),safe_surfaces (product.metafields.custom.safe_surfaces),scent (product.metafields.custom.scent),sds_url (product.metafields.custom.sds_url),size_guide_url (product.metafields.custom.size_guide_url),snippet (product.metafields.custom.snippet),tank_capacity (product.metafields.custom.tank_capacity),use_case (product.metafields.custom.use_case),video_url (product.metafields.custom.video_url),Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
,,,,,,,,,55 Gallon,,,,,,,,8555,0,shopify,0,deny,manual,477.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
methanol-washer-fluid-concentrate,Methanol Washer Fluid Concentrate,,RCP America,,Chemicals,,TRUE,Size,55 Gallon,,,,,,,,8655,0,shopify,0,deny,manual,399.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
windsheild-washer-fluid-rtu-55g-6410262,Windsheild Washer Fluid Rtu- 55G (6410262),,RCP America,,Chemicals,,TRUE,Title,Default Title,,,,,,,,8355NS,0,shopify,0,deny,manual,126.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
concrete-cleaner,Concrete Cleaner,,RCP America,,Chemicals,,TRUE,Size,1 Gallon,,,,,,,,CONCRETECLEANER-01,0,shopify,0,deny,manual,19.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
,,,,,,,,,5 Gallon,,,,,,,,CONCRETECLEANER-05,0,shopify,0,deny,manual,65.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
leather-and-vinyl-conditoner,Leather And Vinyl Conditoner,,RCP America,,Chemicals,,TRUE,Size,32oz,,,,,,,,4500-32L,0,shopify,0,deny,manual,22.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
radiance-leather-condtioner,Radiance Leather Condtioner,,RCP America,,Chemicals,,TRUE,Size,1 Gallon,,,,,,,,RAL001,0,shopify,0,deny,manual,69.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
matrix-ceramic-detailer,Matrix Ceramic Detailer,,RCP America,,Waxes & Protectants,,TRUE,Size,16oz,,,,,,,,RA1200-16,0,shopify,0,deny,manual,8.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
,,,,,,,,,32oz,,,,,,,,RA1200-32,0,shopify,0,deny,manual,17.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
,,,,,,,,,1 Gallon,,,,,,,,RA1201,0,shopify,0,deny,manual,29.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
,,,,,,,,,5 Gallon,,,,,,,,RA1205,0,shopify,0,deny,manual,92.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
,,,,,,,,,30 Gallon,,,,,,,,RA1230,0,shopify,0,deny,manual,499.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
,,,,,,,,,55 Gallon,,,,,,,,RA1255,0,shopify,0,deny,manual,725.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
radiance-graphene-ceramic-kit-50-ml-5-year,Radiance Graphene Ceramic Kit- 50 Ml (5 Year),,RCP America,,Waxes & Protectants,,TRUE,Title,Default Title,,,,,,,,CLF-500-RCP,0,shopify,0,deny,manual,100.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
hydrocharge-ceramic-spray-sealant,Hydrocharge Ceramic Spray Sealant,,RCP America,,Waxes & Protectants,,TRUE,Size,16oz,,,,,,,,RA2000-16,0,shopify,0,deny,manual,8.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
,,,,,,,,,32oz,,,,,,,,RA2000-32,0,shopify,0,deny,manual,14.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
,,,,,,,,,15 Gallon,,,,,,,,RA2015,0,shopify,0,deny,manual,233.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
,,,,,,,,,30 Gallon,,,,,,,,RA2030,0,shopify,0,deny,manual,450,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
radiance-leather-ceramic,Radiance Leather Ceramic,,RCP America,,Waxes & Protectants,,TRUE,Size,1 Gallon,,,,,,,,RLP-001,0,shopify,0,deny,manual,349.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
radiance-glass-protection,Radiance Glass Protection,,RCP America,,Waxes & Protectants,,TRUE,Size,32oz,,,,,,,,RA2200-32,0,shopify,0,deny,manual,32.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
radiance-ice-ceramic-2-year,Radiance Ice Ceramic 2 Year,,RCP America,,Waxes & Protectants,,TRUE,Size,1 Gallon,,,,,,,,RA-ICE-01G,0,shopify,0,deny,manual,699.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
